movie, genre, vector
Toy Story (1995),Adventure,-0.366444242708,-0.527281934656
Toy Story (1995),Animation,-0.366444242708,-0.527281934656
Toy Story (1995),Children,-0.366444242708,-0.527281934656
Toy Story (1995),Comedy,-0.366444242708,-0.527281934656
Toy Story (1995),Fantasy,-0.366444242708,-0.527281934656
Jumanji (1995),Adventure,-0.862302627203,0.697391031631
Jumanji (1995),Children,-0.862302627203,0.697391031631
Jumanji (1995),Fantasy,-0.862302627203,0.697391031631
Heat (1995),Action,-0.155524852023,-0.843872526544
Heat (1995),Crime,-0.155524852023,-0.843872526544
Heat (1995),Thriller,-0.155524852023,-0.843872526544
GoldenEye (1995),Action,-0.730491838307,0.5216860215
GoldenEye (1995),Adventure,-0.730491838307,0.5216860215
GoldenEye (1995),Thriller,-0.730491838307,0.5216860215
Leaving Las Vegas (1995),Drama,1.36077032718,1.05596855462
Leaving Las Vegas (1995),Romance,1.36077032718,1.05596855462
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery,0.60454564507,0.310665128922
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi,0.60454564507,0.310665128922
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller,0.60454564507,0.310665128922
Babe (1995),Children,0.0668604572123,1.24141749318
Babe (1995),Drama,0.0668604572123,1.24141749318
Dead Man Walking (1995),Crime,0.304409844996,0.612926795906
Dead Man Walking (1995),Drama,0.304409844996,0.612926795906
Clueless (1995),Comedy,-0.0333667119734,0.89303281567
Clueless (1995),Romance,-0.0333667119734,0.89303281567
Seven (a.k.a. Se7en) (1995),Mystery,0.844577243448,-0.0701510073837
Seven (a.k.a. Se7en) (1995),Thriller,0.844577243448,-0.0701510073837
"Usual Suspects,  The (1995)",Crime,1.12042991048,-0.634238516133
"Usual Suspects,  The (1995)",Mystery,1.12042991048,-0.634238516133
"Usual Suspects,  The (1995)",Thriller,1.12042991048,-0.634238516133
Braveheart (1995),Action,-0.593776886475,-1.10752886319
Braveheart (1995),Drama,-0.593776886475,-1.10752886319
Braveheart (1995),War,-0.593776886475,-1.10752886319
Taxi Driver (1976),Crime,1.78905457999,-0.292615074703
Taxi Driver (1976),Drama,1.78905457999,-0.292615074703
Taxi Driver (1976),Thriller,1.78905457999,-0.292615074703
Apollo 13 (1995),Adventure,-0.0738801187117,-0.069574070665
Apollo 13 (1995),Drama,-0.0738801187117,-0.069574070665
Apollo 13 (1995),IMAX,-0.0738801187117,-0.069574070665
Batman Forever (1995),Action,-2.78435536206,1.8396876913
Batman Forever (1995),Adventure,-2.78435536206,1.8396876913
Batman Forever (1995),Comedy,-2.78435536206,1.8396876913
Batman Forever (1995),Crime,-2.78435536206,1.8396876913
Die Hard: With a Vengeance (1995),Action,-0.447894056258,0.627838164522
Die Hard: With a Vengeance (1995),Crime,-0.447894056258,0.627838164522
Die Hard: With a Vengeance (1995),Thriller,-0.447894056258,0.627838164522
"Net,  The (1995)",Action,-1.44478307703,1.23306243115
"Net,  The (1995)",Crime,-1.44478307703,1.23306243115
"Net,  The (1995)",Thriller,-1.44478307703,1.23306243115
Waterworld (1995),Action,-2.3472784763,2.18625476734
Waterworld (1995),Adventure,-2.3472784763,2.18625476734
Waterworld (1995),Sci-Fi,-2.3472784763,2.18625476734
Clerks (1994),Comedy,-0.0308167240234,-1.22636995652
Dumb & Dumber (Dumb and Dumber) (1994),Adventure,-0.607671622268,2.08614593087
Dumb & Dumber (Dumb and Dumber) (1994),Comedy,-0.607671622268,2.08614593087
Interview with the Vampire: The Vampire Chronicles (1994),Drama,-0.569538941824,1.05947531803
Interview with the Vampire: The Vampire Chronicles (1994),Horror,-0.569538941824,1.05947531803
Star Wars: Episode IV - A New Hope (1977),Action,0.506910693975,-1.23011768499
Star Wars: Episode IV - A New Hope (1977),Adventure,0.506910693975,-1.23011768499
Star Wars: Episode IV - A New Hope (1977),Sci-Fi,0.506910693975,-1.23011768499
Natural Born Killers (1994),Action,-0.440580553478,1.64334324394
Natural Born Killers (1994),Crime,-0.440580553478,1.64334324394
Natural Born Killers (1994),Thriller,-0.440580553478,1.64334324394
Outbreak (1995),Action,-1.67836203548,0.878330908589
Outbreak (1995),Drama,-1.67836203548,0.878330908589
Outbreak (1995),Sci-Fi,-1.67836203548,0.878330908589
Outbreak (1995),Thriller,-1.67836203548,0.878330908589
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action,0.670868905116,-0.513026656512
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Crime,0.670868905116,-0.513026656512
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Drama,0.670868905116,-0.513026656512
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Thriller,0.670868905116,-0.513026656512
Pulp Fiction (1994),Comedy,1.20444372747,-0.430407732954
Pulp Fiction (1994),Crime,1.20444372747,-0.430407732954
Pulp Fiction (1994),Drama,1.20444372747,-0.430407732954
Pulp Fiction (1994),Thriller,1.20444372747,-0.430407732954
Stargate (1994),Action,-0.764410199981,1.01216371501
Stargate (1994),Adventure,-0.764410199981,1.01216371501
Stargate (1994),Sci-Fi,-0.764410199981,1.01216371501
"Shawshank Redemption,  The (1994)",Crime,0.955757492168,-1.0654466347
"Shawshank Redemption,  The (1994)",Drama,0.955757492168,-1.0654466347
Star Trek: Generations (1994),Adventure,-1.81987122625,0.716774489272
Star Trek: Generations (1994),Drama,-1.81987122625,0.716774489272
Star Trek: Generations (1994),Sci-Fi,-1.81987122625,0.716774489272
While You Were Sleeping (1995),Comedy,-0.207954739663,1.25531986031
While You Were Sleeping (1995),Romance,-0.207954739663,1.25531986031
Ace Ventura: Pet Detective (1994),Comedy,-1.90608236665,1.87930509256
Clear and Present Danger (1994),Action,-0.274948454367,0.31441820034
Clear and Present Danger (1994),Crime,-0.274948454367,0.31441820034
Clear and Present Danger (1994),Drama,-0.274948454367,0.31441820034
Clear and Present Danger (1994),Thriller,-0.274948454367,0.31441820034
Forrest Gump (1994),Comedy,-0.320290279228,-0.878621040712
Forrest Gump (1994),Drama,-0.320290279228,-0.878621040712
Forrest Gump (1994),Romance,-0.320290279228,-0.878621040712
Forrest Gump (1994),War,-0.320290279228,-0.878621040712
Four Weddings and a Funeral (1994),Comedy,0.327719005164,1.08118940452
Four Weddings and a Funeral (1994),Romance,0.327719005164,1.08118940452
"Lion King,  The (1994)",Adventure,-0.431615700896,-0.0762475717157
"Lion King,  The (1994)",Animation,-0.431615700896,-0.0762475717157
"Lion King,  The (1994)",Children,-0.431615700896,-0.0762475717157
"Lion King,  The (1994)",Drama,-0.431615700896,-0.0762475717157
"Lion King,  The (1994)",Musical,-0.431615700896,-0.0762475717157
"Lion King,  The (1994)",IMAX,-0.431615700896,-0.0762475717157
"Mask,  The (1994)",Action,-1.08190259513,1.57877964957
"Mask,  The (1994)",Comedy,-1.08190259513,1.57877964957
"Mask,  The (1994)",Crime,-1.08190259513,1.57877964957
"Mask,  The (1994)",Fantasy,-1.08190259513,1.57877964957
Speed (1994),Action,-1.09736904815,0.175067561054
Speed (1994),Romance,-1.09736904815,0.175067561054
Speed (1994),Thriller,-1.09736904815,0.175067561054
True Lies (1994),Action,-0.81883814249,0.376526593611
True Lies (1994),Adventure,-0.81883814249,0.376526593611
True Lies (1994),Comedy,-0.81883814249,0.376526593611
True Lies (1994),Romance,-0.81883814249,0.376526593611
True Lies (1994),Thriller,-0.81883814249,0.376526593611
Cliffhanger (1993),Action,-1.44231265386,1.3800276931
Cliffhanger (1993),Adventure,-1.44231265386,1.3800276931
Cliffhanger (1993),Thriller,-1.44231265386,1.3800276931
"Firm,  The (1993)",Drama,-0.840868408238,0.53092068086
"Firm,  The (1993)",Thriller,-0.840868408238,0.53092068086
"Fugitive,  The (1993)",Thriller,0.0227949835884,0.0325868550888
Jurassic Park (1993),Action,-0.665837132875,-0.104025196894
Jurassic Park (1993),Adventure,-0.665837132875,-0.104025196894
Jurassic Park (1993),Sci-Fi,-0.665837132875,-0.104025196894
Jurassic Park (1993),Thriller,-0.665837132875,-0.104025196894
Mrs. Doubtfire (1993),Comedy,-0.834701529602,0.819204612046
Mrs. Doubtfire (1993),Drama,-0.834701529602,0.819204612046
Schindler's List (1993),Drama,0.783046813223,-1.2151155515
Schindler's List (1993),War,0.783046813223,-1.2151155515
Sleepless in Seattle (1993),Comedy,-1.13445348944,0.743827704658
Sleepless in Seattle (1993),Drama,-1.13445348944,0.743827704658
Sleepless in Seattle (1993),Romance,-1.13445348944,0.743827704658
Blade Runner (1982),Action,0.973879394861,-0.176040677948
Blade Runner (1982),Sci-Fi,0.973879394861,-0.176040677948
Blade Runner (1982),Thriller,0.973879394861,-0.176040677948
Home Alone (1990),Children,-1.41208441519,1.02146803496
Home Alone (1990),Comedy,-1.41208441519,1.02146803496
Ghost (1990),Comedy,-1.51518367451,0.528469739893
Ghost (1990),Drama,-1.51518367451,0.528469739893
Ghost (1990),Fantasy,-1.51518367451,0.528469739893
Ghost (1990),Romance,-1.51518367451,0.528469739893
Ghost (1990),Thriller,-1.51518367451,0.528469739893
Aladdin (1992),Adventure,-0.835760504992,-0.0646180375095
Aladdin (1992),Animation,-0.835760504992,-0.0646180375095
Aladdin (1992),Children,-0.835760504992,-0.0646180375095
Aladdin (1992),Comedy,-0.835760504992,-0.0646180375095
Aladdin (1992),Musical,-0.835760504992,-0.0646180375095
Terminator 2: Judgment Day (1991),Action,0.0659823676576,-0.601512537415
Terminator 2: Judgment Day (1991),Sci-Fi,0.0659823676576,-0.601512537415
Dances with Wolves (1990),Adventure,-0.811937951128,-0.66248900098
Dances with Wolves (1990),Drama,-0.811937951128,-0.66248900098
Dances with Wolves (1990),Western,-0.811937951128,-0.66248900098
Batman (1989),Action,-0.453614248921,0.464840946284
Batman (1989),Crime,-0.453614248921,0.464840946284
Batman (1989),Thriller,-0.453614248921,0.464840946284
"Silence of the Lambs,  The (1991)",Crime,0.735651452916,-0.709044185821
"Silence of the Lambs,  The (1991)",Horror,0.735651452916,-0.709044185821
"Silence of the Lambs,  The (1991)",Thriller,0.735651452916,-0.709044185821
Beauty and the Beast (1991),Animation,-0.513817133225,-0.37427249057
Beauty and the Beast (1991),Children,-0.513817133225,-0.37427249057
Beauty and the Beast (1991),Fantasy,-0.513817133225,-0.37427249057
Beauty and the Beast (1991),Musical,-0.513817133225,-0.37427249057
Beauty and the Beast (1991),Romance,-0.513817133225,-0.37427249057
Beauty and the Beast (1991),IMAX,-0.513817133225,-0.37427249057
Pretty Woman (1990),Comedy,-0.962057056574,0.419903927827
Pretty Woman (1990),Romance,-0.962057056574,0.419903927827
Fargo (1996),Comedy,1.45834235309,-0.385531663327
Fargo (1996),Crime,1.45834235309,-0.385531663327
Fargo (1996),Drama,1.45834235309,-0.385531663327
Fargo (1996),Thriller,1.45834235309,-0.385531663327
Mission: Impossible (1996),Action,-0.836780583872,0.203926613622
Mission: Impossible (1996),Adventure,-0.836780583872,0.203926613622
Mission: Impossible (1996),Mystery,-0.836780583872,0.203926613622
Mission: Impossible (1996),Thriller,-0.836780583872,0.203926613622
"Rock,  The (1996)",Action,-0.4606379821,0.266064813987
"Rock,  The (1996)",Adventure,-0.4606379821,0.266064813987
"Rock,  The (1996)",Thriller,-0.4606379821,0.266064813987
Twister (1996),Action,-1.89667168488,0.459513684448
Twister (1996),Adventure,-1.89667168488,0.459513684448
Twister (1996),Romance,-1.89667168488,0.459513684448
Twister (1996),Thriller,-1.89667168488,0.459513684448
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,1.47893191243,0.0456391554189
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),War,1.47893191243,0.0456391554189
Trainspotting (1996),Comedy,1.18148299435,-0.357705935073
Trainspotting (1996),Crime,1.18148299435,-0.357705935073
Trainspotting (1996),Drama,1.18148299435,-0.357705935073
Independence Day (a.k.a. ID4) (1996),Action,-1.66761879183,0.102439314289
Independence Day (a.k.a. ID4) (1996),Adventure,-1.66761879183,0.102439314289
Independence Day (a.k.a. ID4) (1996),Sci-Fi,-1.66761879183,0.102439314289
Independence Day (a.k.a. ID4) (1996),Thriller,-1.66761879183,0.102439314289
"Godfather,  The (1972)",Crime,1.30048427404,-0.958638584783
"Godfather,  The (1972)",Drama,1.30048427404,-0.958638584783
Casablanca (1942),Drama,1.55369573506,-0.829738469676
Casablanca (1942),Romance,1.55369573506,-0.829738469676
"Wizard of Oz,  The (1939)",Adventure,0.471254946588,0.104174388742
"Wizard of Oz,  The (1939)",Children,0.471254946588,0.104174388742
"Wizard of Oz,  The (1939)",Fantasy,0.471254946588,0.104174388742
"Wizard of Oz,  The (1939)",Musical,0.471254946588,0.104174388742
2001: A Space Odyssey (1968),Adventure,1.70420002053,0.571113774362
2001: A Space Odyssey (1968),Drama,1.70420002053,0.571113774362
2001: A Space Odyssey (1968),Sci-Fi,1.70420002053,0.571113774362
Die Hard (1988),Action,0.298331093972,-0.255496464413
Die Hard (1988),Crime,0.298331093972,-0.255496464413
Die Hard (1988),Thriller,0.298331093972,-0.255496464413
Willy Wonka & the Chocolate Factory (1971),Children,0.746169138546,0.599445674695
Willy Wonka & the Chocolate Factory (1971),Comedy,0.746169138546,0.599445674695
Willy Wonka & the Chocolate Factory (1971),Fantasy,0.746169138546,0.599445674695
Willy Wonka & the Chocolate Factory (1971),Musical,0.746169138546,0.599445674695
Reservoir Dogs (1992),Crime,1.28343642477,-0.0637758445973
Reservoir Dogs (1992),Mystery,1.28343642477,-0.0637758445973
Reservoir Dogs (1992),Thriller,1.28343642477,-0.0637758445973
E.T. the Extra-Terrestrial (1982),Children,0.0756467254262,0.0194293016851
E.T. the Extra-Terrestrial (1982),Drama,0.0756467254262,0.0194293016851
E.T. the Extra-Terrestrial (1982),Sci-Fi,0.0756467254262,0.0194293016851
Monty Python and the Holy Grail (1975),Adventure,0.826168732197,-0.580570254359
Monty Python and the Holy Grail (1975),Comedy,0.826168732197,-0.580570254359
Monty Python and the Holy Grail (1975),Fantasy,0.826168732197,-0.580570254359
One Flew Over the Cuckoo's Nest (1975),Drama,1.28883398798,-0.263838948312
Star Wars: Episode V - The Empire Strikes Back (1980),Action,0.573166363573,-1.21540310955
Star Wars: Episode V - The Empire Strikes Back (1980),Adventure,0.573166363573,-1.21540310955
Star Wars: Episode V - The Empire Strikes Back (1980),Sci-Fi,0.573166363573,-1.21540310955
"Princess Bride,  The (1987)",Action,0.478340523394,-1.00235044554
"Princess Bride,  The (1987)",Adventure,0.478340523394,-1.00235044554
"Princess Bride,  The (1987)",Comedy,0.478340523394,-1.00235044554
"Princess Bride,  The (1987)",Fantasy,0.478340523394,-1.00235044554
"Princess Bride,  The (1987)",Romance,0.478340523394,-1.00235044554
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action,0.487023865204,-0.812577032565
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Adventure,0.487023865204,-0.812577032565
Aliens (1986),Action,0.275291588417,-0.642521191676
Aliens (1986),Adventure,0.275291588417,-0.642521191676
Aliens (1986),Horror,0.275291588417,-0.642521191676
Aliens (1986),Sci-Fi,0.275291588417,-0.642521191676
